Temp (C) -2h,Dew Point Temp (C) -2h,Rel Hum (%) -2h,Wind Dir (10s deg) -2h,Wind Spd (km/h) -2h,Visibility (km) -2h,Stn Press (kPa) -2h,Weather -2h,Temp (C) -1h,Dew Point Temp (C) -1h,Rel Hum (%) -1h,Wind Dir (10s deg) -1h,Wind Spd (km/h) -1h,Visibility (km) -1h,Stn Press (kPa) -1h,Weather -1h,Weather
5.8,4.5,92,6,19,19.3,101.94,TRUE,5.6,4.9,95,7,22,19.3,102.03,TRUE,TRUE
5.6,4.9,95,7,22,19.3,102.03,TRUE,6.3,4.7,89,5,15,32.2,102.06,TRUE,FALSE
6.3,4.7,89,5,15,32.2,102.06,TRUE,6.6,4.7,87,6,8,32.2,102.2,FALSE,FALSE
6.6,4.7,87,6,8,32.2,102.2,FALSE,6.3,4.9,91,8,11,32.2,102.29,FALSE,FALSE
6.3,4.9,91,8,11,32.2,102.29,FALSE,6.5,5,90,7,6,32.2,102.35,FALSE,FALSE
6.5,5,90,7,6,32.2,102.35,FALSE,6.9,5.4,90,36,8,32.2,102.41,FALSE,FALSE
6.9,5.4,90,36,8,32.2,102.41,FALSE,7.3,5.3,87,36,2,32.2,102.52,FALSE,FALSE
7.3,5.3,87,36,2,32.2,102.52,FALSE,6.5,5,90,11,3,32.2,102.56,FALSE,FALSE
6.5,5,90,11,3,32.2,102.56,FALSE,5.3,4.7,96,16,6,32.2,102.64,FALSE,FALSE
5.3,4.7,96,16,6,32.2,102.64,FALSE,5.5,5,96,12,5,32.2,102.76,FALSE,FALSE
5.5,5,96,12,5,32.2,102.76,FALSE,5.2,4.5,95,9,7,32.2,102.83,FALSE,FALSE
5.2,4.5,95,9,7,32.2,102.83,FALSE,4.8,4.4,98,36,1,32.2,102.89,FALSE,FALSE
4.8,4.4,98,36,1,32.2,102.89,FALSE,3.8,3.5,98,4,4,32.2,102.95,FALSE,FALSE
3.8,3.5,98,4,4,32.2,102.95,FALSE,2.2,2,98,10,7,32.2,102.97,FALSE,FALSE
2.2,2,98,10,7,32.2,102.97,FALSE,1.7,1.4,98,10,7,32.2,103.04,FALSE,FALSE
1.7,1.4,98,10,7,32.2,103.04,FALSE,0.9,0.7,98,10,8,0.6,103.05,FALSE,FALSE
0.9,0.7,98,10,8,0.6,103.05,FALSE,1,0.7,98,10,10,0.2,103.04,FALSE,FALSE
1,0.7,98,10,10,0.2,103.04,FALSE,0.8,0.6,99,9,11,9.7,103.05,FALSE,FALSE
0.8,0.6,99,9,11,9.7,103.05,FALSE,2.1,2,99,8,9,0.6,103.02,FALSE,FALSE
2.1,2,99,8,9,0.6,103.02,FALSE,2.2,2.1,99,9,6,0.2,103.03,FALSE,FALSE
2.2,2.1,99,9,6,0.2,103.03,FALSE,2.6,2.4,99,6,8,32.2,102.96,FALSE,FALSE
2.6,2.4,99,6,8,32.2,102.96,FALSE,2,1.8,99,9,4,32.2,102.92,FALSE,FALSE
2,1.8,99,9,4,32.2,102.92,FALSE,1,0.8,99,9,8,24.1,102.86,FALSE,FALSE
1,0.8,99,9,8,24.1,102.86,FALSE,-0.2,-0.4,98,1,6,32.2,102.8,FALSE,FALSE
-0.2,-0.4,98,1,6,32.2,102.8,FALSE,0.3,0.2,99,9,6,32.2,102.8,FALSE,FALSE
0.3,0.2,99,9,6,32.2,102.8,FALSE,3,2.8,99,9,5,32.2,102.77,FALSE,FALSE
3,2.8,99,9,5,32.2,102.77,FALSE,3.8,3.1,96,10,12,32.2,102.68,FALSE,FALSE
3.8,3.1,96,10,12,32.2,102.68,FALSE,4.6,2.4,86,9,14,32.2,102.56,FALSE,FALSE
4.6,2.4,86,9,14,32.2,102.56,FALSE,5.7,2.3,79,9,12,24.1,102.42,FALSE,FALSE
5.7,2.3,79,9,12,24.1,102.42,FALSE,5.8,2.2,77,7,9,32.2,102.3,FALSE,FALSE
5.8,2.2,77,7,9,32.2,102.3,FALSE,6.2,2.4,77,36,3,32.2,102.25,FALSE,FALSE
6.2,2.4,77,36,3,32.2,102.25,FALSE,4.9,3.5,91,28,7,32.2,102.21,FALSE,FALSE
4.9,3.5,91,28,7,32.2,102.21,FALSE,4.5,3.1,91,32,9,32.2,102.14,FALSE,TRUE
4.5,3.1,91,32,9,32.2,102.14,FALSE,5.4,2.9,84,7,7,24.1,102.14,TRUE,FALSE
5.4,2.9,84,7,7,24.1,102.14,TRUE,7.2,2.1,70,4,28,24.1,102.04,FALSE,FALSE
7.2,2.1,70,4,28,24.1,102.04,FALSE,6.3,2.4,76,7,26,24.1,101.99,FALSE,FALSE
6.3,2.4,76,7,26,24.1,101.99,FALSE,7,1.8,70,6,20,24.1,101.86,FALSE,FALSE
7,1.8,70,6,20,24.1,101.86,FALSE,6.1,2.4,77,10,10,24.1,101.92,FALSE,FALSE
6.1,2.4,77,10,10,24.1,101.92,FALSE,6.3,2.4,76,8,16,24.1,101.84,FALSE,TRUE
6.3,2.4,76,8,16,24.1,101.84,FALSE,5.7,3.1,83,9,21,24.1,101.83,TRUE,TRUE
5.7,3.1,83,9,21,24.1,101.83,TRUE,6.7,3.1,78,2,13,24.1,101.87,TRUE,TRUE
6.7,3.1,78,2,13,24.1,101.87,TRUE,7,3.5,79,5,17,19.3,101.92,TRUE,TRUE
7,3.5,79,5,17,19.3,101.92,TRUE,7,3.2,76,10,21,19.3,102.04,TRUE,TRUE
7,3.2,76,10,21,19.3,102.04,TRUE,6.3,4.1,86,7,22,19.3,102.03,TRUE,TRUE
6.3,4.1,86,7,22,19.3,102.03,TRUE,6,4.5,90,6,15,12.9,102.1,TRUE,TRUE
6,4.5,90,6,15,12.9,102.1,TRUE,5.8,4.7,92,7,15,6.4,102.16,TRUE,TRUE
5.8,4.7,92,7,15,6.4,102.16,TRUE,5.3,4.6,95,8,17,24.1,102.18,TRUE,FALSE
5.3,4.6,95,8,17,24.1,102.18,TRUE,5.5,4.5,93,7,15,32.2,102.19,FALSE,FALSE
5.5,4.5,93,7,15,32.2,102.19,FALSE,5.9,4.8,93,10,17,32.2,102.23,FALSE,FALSE
5.9,4.8,93,10,17,32.2,102.23,FALSE,6,4.7,91,8,18,32.2,102.24,FALSE,TRUE
